# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-01-19 09:30:57 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01571500 Yellow Breeches Creek near Camp Hill, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01571500
#            TS   parameter     Description
#        122083       00065     Gage height, feet
#        122084       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	122083_00065	122083_00065_cd	122084_00060	122084_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	01571500	2021-01-01 00:00	EST	1.40	P	234	P
USGS	01571500	2021-01-01 00:15	EST	1.40	P	234	P
USGS	01571500	2021-01-01 00:30	EST	1.39	P	232	P
USGS	01571500	2021-01-01 00:45	EST	1.39	P	232	P
USGS	01571500	2021-01-01 01:00	EST	1.39	P	232	P
USGS	01571500	2021-01-01 01:15	EST	1.39	P	232	P
USGS	01571500	2021-01-01 01:30	EST	1.39	P	232	P
USGS	01571500	2021-01-01 01:45	EST	1.39	P	232	P
USGS	01571500	2021-01-01 02:00	EST	1.39	P	232	P
USGS	01571500	2021-01-01 02:15	EST	1.39	P	232	P
USGS	01571500	2021-01-01 02:30	EST	1.39	P	232	P
USGS	01571500	2021-01-01 02:45	EST	1.39	P	232	P
USGS	01571500	2021-01-01 03:00	EST	1.39	P	232	P
USGS	01571500	2021-01-01 03:15	EST	1.39	P	232	P
USGS	01571500	2021-01-01 03:30	EST	1.39	P	232	P
USGS	01571500	2021-01-01 03:45	EST	1.39	P	232	P
USGS	01571500	2021-01-01 04:00	EST	1.38	P	229	P
USGS	01571500	2021-01-01 04:15	EST	1.38	P	229	P
USGS	01571500	2021-01-01 04:30	EST	1.38	P	229	P
USGS	01571500	2021-01-01 04:45	EST	1.38	P	229	P
USGS	01571500	2021-01-01 05:00	EST	1.38	P	229	P
USGS	01571500	2021-01-01 05:15	EST	1.38	P	229	P
USGS	01571500	2021-01-01 05:30	EST	1.38	P	229	P
USGS	01571500	2021-01-01 05:45	EST	1.38	P	229	P
USGS	01571500	2021-01-01 06:00	EST	1.38	P	229	P
USGS	01571500	2021-01-01 06:15	EST	1.38	P	229	P
USGS	01571500	2021-01-01 06:30	EST	1.38	P	229	P
USGS	01571500	2021-01-01 06:45	EST	1.37	P	227	P
USGS	01571500	2021-01-01 07:00	EST	1.37	P	227	P
USGS	01571500	2021-01-01 07:15	EST	1.37	P	227	P
USGS	01571500	2021-01-01 07:30	EST	1.37	P	227	P
USGS	01571500	2021-01-01 07:45	EST	1.37	P	227	P
